Rank	Russian	English
2862	уездный	uyezd, district
2863	преодолеть	overcome, get the better, get over, surmount
2864	минутка	minute, moment
2865	понятно	it is clear, naturally, of course, clearly, plainly, forcibly, perspicuously
2866	скверный	bad, nasty, foul
2867	студент	student
2868	литература	literature
2869	невыгодный	disadvantageous, unprofitable, non-lucrative, unremunerative, not paying, unfavourable
2870	переодеться	change clothes; disguise oneself
2871	модный	fashionable, stylish
2872	отходить	leave, pull out, depart, put out, sail, withdraw, draw off, fall back, step aside, walk away, deviate, digress, diverge, come off, pass away, be dying, be going, recover, come to oneself, be all right again
2873	решать	decide, determine, resolve, be determined, solve
2874	погибший	lost
2875	одежда	clothes, garments, surfacing, top dressing
2876	вблизи	close by, nearby
2877	упругий	elastic, resilient
2878	покатиться	start rolling, roll
2879	бег	run, running, race
2880	приблизиться	approach
2881	прибавлять	add, increase, widen, lengthen, lay in on
2882	сверху	from above, from top, on top
2883	скатерть	table-cloth
2884	бархатный	velvety
2885	пожалуй	perhaps, very likely, may, I think
2886	бутылка	bottle
2887	влажный	humid, moist, damp, wet
2888	обстановка	furniture, set, situation
2889	заинтересовать	interest
2890	отпускать	let go, let off, set free, release, give leave, supply, serve, grow, let grow, slacken, turn loose, loosen, remit, forgive, temper, draw
2891	заслуга	merit, desert, services
2892	трогать	touch, disturb, move, affect
2893	увлечься	to be absored in; to be extremely interested in
2894	украсть	steal, pilfer
2895	смягчить	soften, mollify, allay, alleviate, assuage, mitigate, tone down, relax, palatalize
2896	наверно	probably, most likely, for sure, certainly, for a certainty
2897	унылый	sad, cheerless, doleful, dismal, despondent, crestfallen, downcast
2898	определять	define, determine
2899	чисто	it is clean, cleanly, neatly, purely, merely
2900	актриса	actress
2901	отправиться	start, leave, depart, go, make, betake oneself, proceed
2902	выезжать	leave, move, break, train
2903	появление	appearance, apparition
2904	известно	it is known
2905	считаться	to be considered, thought to be, take into consideration, reckon
2906	внушать	suggest, inspire, fill, bring home, instil, impress; hypnotize
2907	победить	win, triumph, prevail; defeat, vanquish, overcome
2908	зимой	in winter
2909	запас	stock, supply, reserve, double seams, spare cloth
2910	затеять	venture, undertake
2911	название	name, appellation, title
2912	интонация	intonation
2913	соединяться	unite, join, combine
2914	вставить	to insert, put in; to paste
2915	артельщик	member of artel
2916	соскочить	spring down, come off
2917	щуриться	squint, narrow
2918	решительность	resolution, resoluteness
2919	грациозный	graceful
2920	переговариваться	
2921	ручонка	
2922	браться	undertake, begin, start, take up, touch, seize
2923	вязать	bind, tie up, be astringent, knit, crochet
2924	золовка	sister-in-law
2925	слабо	faintly, feebly, weakly, bad, poorly
2926	притворно	affectedly, hypocritically
2927	светло	it is light, brightly
2928	видимый	visible, obvious, apparent, seeming
2929	альбом	album
2930	кстати	by the way, incidentally, besides, in fact
2931	прощаться	say goodbye, take leave, bid adieu, bid farewell
2932	предлог	pretext, excuse; preposition
2933	пристыдить	shame, put to shame, make ashamed of
2934	оторваться	come off, tear off, take off, tear oneself away, lose touch
2935	приглашение	invitation, invitation card, offer
2936	легкость	lightness, easiness
2937	сливаться	flow together, interflow, join, merge, amalgamate, blend
2938	шлейф	train
2939	незаметный	imperceptible, insignificant, inconspicuous
2940	понятный	intelligible, clear
2941	сожалеть	regret, deplore, be sorry, pity
2942	расстояние	distance, space
2943	упустить	miss, overlook
2944	разгорячить	excite
2945	наедине	in private, privately, tete-a-tete, a deux
2946	фонарь	lantern, lamp, light, skylight, bay, black eye
2947	ночевать	stay the night
2948	поддержать	support, back, second, maintain, keep up, bear
2949	дым	smoke
2950	предприятие	undertaking, enterprise, business, works
2951	крицкий	
2952	землевладелец	landowner
2953	скот	cattle, livestock, brute, beast
2954	укладываться	pack, be packing, go, keep, confine oneself, lie down
2955	рядчик	
2956	пава	peahen
2957	бедность	poverty, poorness, indigence, penury
2958	исправление	correction, correcting, repairing, amendment, emend, emendation
2959	объявлять	to declare
2960	приказывать	order, command, direct
2961	свежеть	become cool, freshen, come to blow, freshen up, acquire a glow of health
2962	теленок	calf, bull calf
2963	природа	nature, countryside, character
2964	аккуратно	neatly; carefully, regularly
2965	предвидеть	foresee, foreknow
2966	разрезной	
2967	ножик	knife
2968	переход	passage, transition, change, crossing, march
2969	учтивый	civil, courteous, considerate
2970	упорный	persistent, stubborn, obstinate
2971	добраться	reach
2972	источник	spring, source
2973	ничтожно	insignificant, miniscule, negligibly, pathetically
2974	приходиться	have to, must; happen to, fall
2975	христианство	Christianity
2976	обещаться	promise
2977	отдельно	separately
2978	переделать	do
2979	подсесть	take a seat, sit down; to get hooked on
2980	наделать	give, cause
2981	вымыть	wash, hollow out, wash away
2982	хохот	laughter
2983	вскакивать	jump, jump up, leap up, swell, come up
2984	посоветовать	advise, counsel
2985	сплошной	continuous, entire, solid, compact
2986	долженствовать	
2987	внимательный	attentive, careful
2988	питание	nourishment, nutrition; food, supply, diet
2989	сверх	over, besides, above, beyond
2990	приготовиться	prepare, be ahead, be about to take place, be imminent, be threatening
2991	шляпка	head, cap
2992	молоденький	young
2993	убирать	take away, remove; tidy, clean up
2994	неподвижный	immovable, motionless, still, fixed, stationary
2995	опера	opera, opera-house
2996	прелюбодеяние	adultery
2997	голый	naked, bare, bald, unmixed, sheer, neat, pure
2998	призвать	call, urge
2999	извиняться	apologise
3000	акт	act, deed, document, statement, speech-day, commencement
3001	освежить	refresh, freshen, revive, touch up
3002	ярко	brightly, strikingly, brilliantly, vividly
3003	стих	verse, line, verses, poetry, mood
3004	мода	fashion, vogue
3005	запретить	forbid, prohibit, ban
3006	уверенность	confidence, certainty
3007	прогулка	walk, stroll
3008	потянуть	pull, draw, haul, drag, lay, drawl, drag out, delay, protract, procrastinate, make go, weigh, draw up, squeeze, extort; afford
3009	влечь	draw, drag, attract
3010	лишенный	void, lacking
3011	сообщаться	be communicated, communicate, be in communication
3012	озлобление	bitterness, animosity
